#1
double csv(8751,9)
# time	TSet	fanRet	fanSup	bypass	converged	TLiving	TMin	QHea
5533200	291.619447048	0.0237003929388	0.0237003929388	0	1	291.949117936	289.15	0.00275120749921
5536800	291.226067082	0.0233453048843	0.0233453048843	0	1	291.588514665	289.15	0.00297943224325
5540400	290.94478121	0.0234773013138	0.0234773013138	0	1	291.318861961	289.15	0.00300876191973
5544000	290.706136047	0.0233447085012	0.0233447085012	0	1	291.089793629	289.15	0.00300876191984
5547600	290.489384041	0.023344247195	0.023344247195	0	1	290.885452926	289.15	0.00300876191984
5551200	328.883556698	0.0233397752797	0.0233397752797	0	1	290.696987816	289.15	29999.9969912
5554800	314.810045457	0.0233401240759	0.0233401240759	0	1	294.407968977	294.15	0.000575087346263
5558400	309.239303737	0.023340521018	0.023340521018	0	1	294.00004827	294.15	0.000745908105648
5562000	305.057543177	0.0233845024068	0.0233845024068	0	1	293.9159424	294.15	0.000917393333568
5565600	301.780972131	0.0233421078116	0.0233421078116	0	1	293.895413758	294.15	0.00111862406561
5569200	299.582355421	0.023342682864	0.023342682864	0	1	293.895339481	294.15	0.00130515071414
5572800	298.690747074	0.0233430138976	0.0233430138976	0	1	293.942392392	294.15	0.00144008763814
5576400	298.85364545	0.0234942770267	0.0234942770267	0	1	293.94169574	294.15	683.697782718
5580000	299.199041709	0.0233436914993	0.0233436914993	0	1	293.900146097	294.15	961.707313425
5583600	299.253277297	0.0234297948561	0.0234297948561	0	1	293.852786253	294.15	580.827174157
5587200	300.815489178	0.0233432914538	0.0233432914538	0	1	293.84478627	294.15	2641.60259524
5590800	303.077332184	0.023389391387	0.023389391387	0	1	293.763502945	294.15	3464.98220615
5594400	304.096818292	0.0233422675163	0.0233422675163	0	1	293.819894253	294.15	2014.86925376
5598000	304.623151631	0.0233422492778	0.0233422492778	0	1	293.845236588	294.15	1687.18962394
5601600	305.15927347	0.0233419233049	0.0233419233049	0	1	293.839468965	294.15	2124.65319639
5605200	305.571607327	0.0233417830712	0.0233417830712	0	1	293.844312746	294.15	1569.43120836
5608800	305.982529187	0.0233425921606	0.0233425921606	0	1	293.839638822	294.15	1780.29036543
5612400	294.60457995	0.0233463932861	0.0233463932861	0	1	293.837227619	289.15	0.000834337129666
5616000	292.889901983	0.0233466807694	0.0233466807694	0	1	292.870027124	289.15	0.00175709685374
5619600	292.301030864	0.0233458595105	0.0233458595105	0	1	292.40554125	289.15	0.00232884294781
5623200	291.972168748	0.0233458002765	0.0233458002765	0	1	292.111000287	289.15	0.00253586645033
5626800	291.718177555	0.0233455930595	0.0233455930595	0	1	291.878485801	289.15	0.00268439377246
5630400	291.493834244	0.0233451339559	0.0233451339559	0	1	291.676645295	289.15	0.00280925004806
5634000	291.285441254	0.0237205141773	0.0237205141773	0	1	291.492493999	289.15	0.0029219820369
5637600	323.507171141	0.0233401697941	0.0233401697941	0	1	291.320018789	289.15	29999.9969923
5641200	312.538980737	0.0234032257704	0.0234032257704	0	1	294.42589034	294.15	0.000597674783473
5644800	308.966501229	0.0233409996112	0.0233409996112	0	1	294.053131204	294.15	0.000730163159439
5648400	306.913346018	0.0233412887284	0.0233412887284	0	1	293.982650278	294.15	187.925739786
5652000	305.158410824	0.0233416289221	0.0233416289221	0	1	293.960367428	294.15	34.5767688173
5655600	303.702528274	0.0233419412072	0.0233419412072	0	1	293.942924205	294.15	197.021285185
5659200	302.6458547	0.0233420884871	0.0233420884871	0	1	293.919763945	294.15	61.8199242844
5662800	302.347621043	0.023342293497	0.023342293497	0	1	293.928162213	294.15	672.748779705
5666400	302.608089086	0.0233422788822	0.0233422788822	0	1	293.915594467	294.15	1316.32518297
5670000	303.286309866	0.0233423054763	0.0233423054763	0	1	293.926009141	294.15	1580.97183186
5673600	304.453689873	0.0233421196579	0.0233421196579	0	1	293.933538664	294.15	2307.2095037
5677200	305.548856448	0.0233418889039	0.0233418889039	0	1	293.938378622	294.15	2357.80305185
5680800	306.198998236	0.0233416232217	0.0233416232217	0	1	293.941007368	294.15	1760.65156092
5684400	306.655860827	0.0233592873139	0.0233592873139	0	1	293.937125438	294.15	1699.7377924
