#1
#C1: time (Europe/Berlin)[s] from 2023-04-18T00:00:00+0200 to 2023-04-28T00:00:00+0200
#C2: outside temperature
double ROF_outside_temp_2023(961,2)
0	8.1
900	8.1
498600		17.900000000000002
499500		17.666666666666668
500400		17.5
501300		17.2
502200		16.966666666666665
503100		16.8
504000		16.7
504900		16.566666666666666
505800		16.3
506700		16.066666666666666
507600		15.800000000000002
508500		15.533333333333333
509400		15.300000000000002
510300		15.1
511200		14.866666666666667
512100		14.666666666666666
513000		14.533333333333333
513900		14.466666666666667
514800		14.366666666666667
515700		14.266666666666666
516600		14.199999999999998
517500		14.066666666666668
518400		13.966666666666667
519300		13.9
520200		13.800000000000002
521100		13.666666666666666
522000		13.566666666666668
522900		13.466666666666667
523800		13.333333333333334
524700		13.233333333333334
525600		13.066666666666668
526500		12.966666666666667
527400		12.833333333333334
528300		12.699999999999998
529200		12.6
530100		12.5
531000		12.5
531900		12.575000000000001
532800		12.6
533700		12.6
534600		12.566666666666668
535500		12.5
536400		12.5
537300		12.5
538200		12.5
539100		12.566666666666668
540000		12.6
540900		12.699999999999998
541800		12.699999999999998
542700		12.699999999999998
543600		12.699999999999998
544500		12.733333333333334
545400		12.833333333333334
546300		12.966666666666667
547200		13.0
548100		13.033333333333333
549000		13.133333333333333
549900		13.433333333333335
550800		13.833333333333334
551700		14.166666666666666
552600		14.5
553500		14.9
554400	15.199999999999998
555300	15.633333333333335
556200		15.9
557100		16.2
558000		16.566666666666666
558900		16.833333333333332
559800		17.0
560700		17.233333333333334
561600		17.2
562500		17.333333333333332
563400		17.5
564300		17.366666666666664
565200		17.166666666666668
566100		17.566666666666666
567000		17.9
567900		17.5
568800		17.1
569700		17.2
570600		17.65
571500		18.35
572400		18.433333333333334
573300		18.5
574200		18.533333333333335
575100		18.400000000000002
576000		18.466666666666665
576900		18.333333333333332
577800		18.266666666666666
578700		18.333333333333332
579600		18.3
580500		18.0
581400		17.76666666666667
582300		17.3
583200		16.96666666666667
584100		16.633333333333333
585000		16.6
585900		16.400000000000002
586800		15.9
587700		15.299999999999999
588600		14.800000000000002
589500		14.4
590400		14.033333333333333
591300		13.700000000000001
592200		13.4
593100		13.133333333333333
594000		12.850000000000001
594900		12.399999999999999
595800		12.1
596700		11.933333333333332
597600		11.766666666666666
598500		11.433333333333332
599400		11.1
600300		11.0
601200		10.9
602100		10.700000000000001
603000		10.533333333333333
603900		10.466666666666667
604800		10.4
605700		10.333333333333334
606600		10.133333333333333
607500		10.0
608400		9.866666666666667
609300		9.9
610200		9.9
611100		9.866666666666667
612000		9.7
612900		9.7
613800		9.7
614700		9.7
615600		9.649999999999999
616500		9.6
617400		9.6
618300		9.6
619200		9.5
620100		9.5
621000		9.433333333333332
621900		9.4
622800		9.333333333333334
623700		9.3
624600		9.233333333333333
625500		9.133333333333333
626400		9.1
627300		9.166666666666666
628200		9.2
629100		9.166666666666666
630000		9.2
630900		9.3
631800		9.333333333333334
632700		9.4
633600		9.466666666666667
634500		9.5
635400		9.6
636300		9.674999999999999
637200		9.7
638100		9.7
639000		9.6
639900		9.633333333333333
640800		9.766666666666667
641700		9.9
642600		10.2
643500		10.566666666666668
644400		10.799999999999999
645300		11.0
646200		11.4
647100		11.866666666666667
648000		11.9
648900		11.933333333333332
649800		12.066666666666668
650700		12.233333333333334
651600		12.4
652500		12.366666666666667
653400		12.0
654300		11.833333333333334
655200		12.033333333333333
656100		12.199999999999998
657000		12.166666666666666
657900		12.4
658800		12.333333333333334
659700		12.3
660600		12.466666666666667
661500		12.4
662400		12.433333333333332
663300		12.300000000000002
664200		12.0
665100		11.9
666000		11.9
666900		11.533333333333333
667800		11.466666666666667
668700		11.5
669600		11.333333333333334
670500		11.199999999999998
671400		11.0
672300		10.766666666666667
673200		10.533333333333333
674100		10.4
675000		10.200000000000001
675900		9.9
676800		9.700000000000001
677700		9.433333333333332
678600		9.3
679500		9.066666666666666
680400		8.95
681300		8.9
682200		8.8
683100		8.633333333333333
684000		8.433333333333332
684900		8.266666666666667
685800		8.033333333333333
686700		7.866666666666667
687600		7.7
688500		7.566666666666666
689400		7.433333333333334
690300		7.266666666666667
691200		7.1000000000000005
692100		6.933333333333334
693000		6.766666666666667
693900		6.633333333333333
694800		6.5
695700		6.366666666666667
696600		6.166666666666667
697500		6.033333333333334
698400		5.866666666666667
699300		5.733333333333333
700200		5.599999999999999
701100		5.466666666666666
702000		5.35
702900		5.233333333333333
703800		5.066666666666666
704700		4.966666666666667
705600		4.866666666666667
706500		4.733333333333333
707400		4.633333333333334
708300		4.466666666666667
709200		4.4
710100		4.266666666666667
711000		4.2
711900		4.1
712800		4.033333333333333
713700		4.0
714600		4.0
715500		4.0
716400		4.066666666666666
717300		4.133333333333333
718200		4.3
719100		4.566666666666666
720000		4.766666666666667
720900		5.033333333333333
721800		5.2
722700		5.5
723600		5.866666666666667
724500		6.15
725400		6.433333333333333
726300		6.900000000000001
727200		7.333333333333333
728100		7.8
729000		8.133333333333335
729900		8.200000000000001
730800	8.4
731700		8.7
732600		8.966666666666667
733500		9.266666666666666
734400		9.733333333333333
735300		10.0
736200		10.0
737100		9.666666666666666
738000		9.799999999999999
738900		10.0
739800		10.166666666666666
740700		10.433333333333334
741600		10.3
742500		10.3
743400		10.7
744300		10.666666666666666
745200		10.55
746100		10.966666666666667
747000		11.266666666666666
747900		11.200000000000001
748800		10.966666666666667
749700		10.933333333333332
750600		11.033333333333331
751500		11.466666666666667
752400		11.4
753300		11.233333333333334
754200		11.533333333333333
755100		11.566666666666668
756000		11.300000000000002
756900		11.0
757800		10.700000000000001
758700		10.6
759600		10.533333333333333
760500		10.5
761400		10.4
762300		10.1
763200		9.700000000000001
764100		9.4
765000		9.1
765900		8.9
766800		8.733333333333333
767700		8.666666666666666
768600		8.433333333333332
769500		8.266666666666667
770400		8.133333333333333
771300		8.033333333333333
772200		7.866666666666667
773100		7.733333333333333
774000		7.633333333333333
774900		7.599999999999999
775800		7.599999999999999
776700		7.599999999999999
777600		7.599999999999999
778500		7.599999999999999
779400		7.599999999999999
780300		7.599999999999999
781200		7.566666666666666
782100		7.5
783000		7.5
783900		7.5
784800		7.433333333333334
785700		7.400000000000001
786600		7.366666666666667
787500		7.3
788400		7.3
789300		7.266666666666667
790200		7.2
791100		7.2
792000		7.166666666666667
792900		7.099999999999999
793800		7.033333333333334
794700		7.0
795600		6.900000000000001
796500		6.866666666666667
797400		6.8
798300		6.733333333333333
799200		6.7
800100		6.7
801000		6.7
801900		6.7
802800		6.766666666666667
803700		6.900000000000001
804600		7.033333333333334
805500		7.233333333333333
806400		7.433333333333334
807300		7.6000000000000005
808200		7.8
809100		7.8
810000		7.900000000000001
810900		8.05
811800		8.4
812700		8.933333333333332
813600		9.4
814500		9.833333333333334
815400		10.066666666666668
816300		9.966666666666667
817200		9.966666666666667
818100		10.266666666666666
819000		10.6
819900		10.6
820800		10.866666666666667
821700		10.833333333333334
822600		10.9
823500		11.0
824400		11.566666666666668
825300		11.666666666666666
826200		11.633333333333333
827100		11.800000000000002
828000		12.133333333333335
828900		12.4
829800		12.4
830700		12.466666666666667
831600		12.75
832500		12.800000000000002
833400		12.933333333333332
834300		13.1
835200		13.199999999999998
836100		13.300000000000002
837000		13.1
837900		12.733333333333334
838800		12.466666666666667
839700		12.233333333333334
840600		12.166666666666666
841500		11.933333333333332
842400		11.733333333333334
843300		11.800000000000002
844200		11.666666666666666
845100		11.433333333333332
846000		11.200000000000001
846900		10.9
847800		10.633333333333333
848700		10.4
849600		10.233333333333333
850500		10.0
851400		9.8
852300		9.566666666666666
853200		9.366666666666667
854100		9.133333333333333
855000		8.9
855900		8.700000000000001
856800		8.533333333333333
857700		8.366666666666667
858600		8.200000000000001
859500		8.0
860400		7.833333333333333
861300		7.666666666666667
862200		7.55
863100		7.425000000000001
864000		7.3
